word,most_pmi,count
crisis,0.3390491986976869,95
superman,0.3091328756439193,924
blasts,0.29684243222456497,272
stomp,0.29180617139530907,800
manhattan,0.2888324585822072,58
thor,0.28881216657601927,1462
feat,0.2836673423324843,829
hulk,0.28294925646390223,1052
prompt,0.2759649988387101,399
thanos,0.2738961215977242,1904
durable,0.2730878802392294,541
gauntlet,0.2718314132839007,688
blunt,0.2652049012016707,151
tanked,0.2644904709303736,244
justice,0.2619753752729367,181
wonder,0.26156366977799006,209
buster,0.25711251311999717,261
batman,0.25625201365317574,859
stark,0.25613927584641605,231
banner,0.2533441319019178,156
iron,0.25114399863294407,790
cap,0.2462533530084978,1047
overwhelmed,0.24513591497862727,87
overpower,0.24287614635708307,150
america,0.24192275600319188,401
captain,0.24164935657553485,771
artist,0.24042190840222374,95
pierce,0.2376635211498558,181
powers,0.23663754208186624,1123
overwhelm,0.235997804053539,138
league,0.23545951029781814,176
weakened,0.23374018915552222,218
gorilla,0.23331984684587545,264
beams,0.23257369156231528,186
blows,0.2323250273780346,224
spoil,0.23211147817717925,25
wayne,0.2310339924814917,109
beta,0.2306287467901586,20
pocket,0.23061168900237497,60
wick,0.2289803972071044,225
dc,0.22879388632091316,324
rounds,0.22872265034328737,763
professor,0.2280679935342242,70
avengers,0.22781910902214886,746
solo,0.22663961718178247,311
widow,0.22597540318553766,294
withstand,0.22572876311958937,211
infinity,0.2245648839898437,797
nigh,0.22454001309032826,89
punches,0.22297896364700956,497
effortlessly,0.22276374577030406,118
reform,0.22210927893519067,25
stomped,0.21928678519043207,244
martial,0.21769501163197985,378
artists,0.2171271552471152,40
caps,0.21691378102713532,87
busting,0.2166856439300123,239
brute,0.2165846066731729,150
tons,0.21647437338820902,167
blank,0.21567244787753864,144
comics,0.21416226255961002,610
abomination,0.21379198727765442,63
round,0.21335363591074583,1288
yield,0.21304606765371845,18
dimension,0.21283240586445082,344
edge,0.2124911602829687,302
prep,0.21171333708425688,509
defeat,0.2111958462539965,556
piercing,0.21033043362837503,135
bruce,0.20951985081160063,351
dimensions,0.20779302076541892,163
marvel,0.20752601399943302,905
cosmic,0.20739680722054898,231
tank,0.206440175191355,384
underestimating,0.20535403762671686,180
beam,0.20503146809384037,276
universe,0.20282451410327704,838
mirror,0.20246992797016733,96
stones,0.20160182949260946,661
panther,0.20139800354715465,249
strength,0.2009616330622557,1497
tony,0.20038395129418785,624
defeated,0.20007112230422167,413
scales,0.19813589847283755,160
quarters,0.19800223695126312,83
bullets,0.19787490198003474,516
arsenal,0.19772898473571746,153
ant,0.19739660422387875,284
plate,0.19711984071076422,127
weaker,0.19709040212876675,601
crushes,0.19635341897297948,83
nuke,0.1963082949485583,274
arts,0.19616650880379569,302
strongest,0.1958328248660287,632
wank,0.19515465569145407,137
superiority,0.1951518480818182,53
absorbing,0.1951435450332768,120
sweat,0.19493005453073556,51
tire,0.19470179010127703,85
bare,0.19432509023891853,138
wielding,0.19390827854673412,169
mike,0.1936145481827001,65
stronger,0.19313612900613064,1348
wins,0.19310083235123301,1457
canon,0.1928227863117929,394
survives,0.19169134220873082,177
defeats,0.19103717719042,83
claws,0.19086496067504008,223
weakest,0.19054239436342724,279
contend,0.18987871844029205,67
explosions,0.18987304223813362,172
bolts,0.18977018127378453,104
nukes,0.18945920354172993,137
scans,0.18795646965924687,138
capabilities,0.1878598669654209,252
stone,0.18717200946140414,908
lasers,0.1870119289677659,155
godzilla,0.18677999322293973,384
prowess,0.18592149392014184,91
leagues,0.18585739820545238,67
defeating,0.18581518184755905,166
suit,0.18572923230389246,677
penetrate,0.18512578890156584,128
guard,0.1847010758815191,169
scaling,0.18462229174273656,289
edges,0.1845176153807509,22
powerful,0.18390240727868437,1416
hail,0.18389910386265987,15
attacks,0.18388079881373456,799
