word,most_pmi,count
bee,0.4655029740916578,9
sixty,0.44736418294687896,9
b4,0.38674611453277047,3
forty,0.3758259361246573,8
fifty,0.3755909912049995,8
tuesday,0.3604873054671924,12
twenty,0.35638722998928113,15
threads,0.3558778949304093,20
monday,0.32618370698750115,12
{,0.3216489479914881,12
january,0.32143259348118114,8
},0.320319992086063,19
aaa,0.32004484426581614,7
|,0.3175962733629518,21
cya,0.3161880388340018,8
invaded,0.30926096691303107,8
eight,0.30042096768862364,15
tug,0.2992430889968718,5
digit,0.2987933430915582,6
¡,0.29874706648117755,4
comments,0.29502652468700186,11
goodnight,0.2933994364431558,5
friday,0.29237246997755695,9
digits,0.2857835487452126,7
=,0.28471463234829153,41
inbox,0.28406212183787327,13
archived,0.2820663976077323,3
completed,0.28204783769843234,16
hundred,0.28132626810497474,17
thirty,0.2738665707991145,6
kk,0.2707195278015003,4
brb,0.26727564013519617,5
wiki,0.26492613650455815,4
february,0.2647115323955285,8
tow,0.2629011603012077,7
august,0.262638813789902,8
×,0.2619093313827807,4
counting,0.26148150786582297,26
bc,0.26134237793133,5
adams,0.2599300941318273,6
ty,0.2579710656795942,10
thousand,0.25628821061214163,17
november,0.25619700259729433,7
np,0.2535913403089911,6
`,0.2514280392750043,4
england,0.2500513654296418,8
april,0.24948360300215502,8
thursday,0.2483025748235964,12
william,0.2482962715728502,8
june,0.24817758580553426,6
wednesday,0.24558674543396852,11
tx,0.2425425430332734,3
j,0.23853234422823258,9
march,0.23720695598295352,9
nine,0.2362494781413101,6
skipped,0.23139374621279324,2
september,0.22997789756687204,6
october,0.22874313201919286,6
sheep,0.22822566679607112,6
repeating,0.22382612522858097,7
seven,0.22377891390375967,6
mars,0.22099783855045926,2
^,0.21972034005215738,24
homework,0.21833350761286285,3
binary,0.2179194923236412,7
pm,0.21786311341818876,13
counts,0.2160486123848263,15
july,0.2158528343683295,6
chain,0.2151112044555931,18
ping,0.21401478410058566,6
mercury,0.2138255313050642,4
k,0.21081483205506524,5
script,0.2103561106817633,5
u,0.20933373837957311,38
empty,0.20915885108121948,11
orange,0.2087918957219719,9
six,0.206520557546477,7
december,0.20303476345378257,7
morning,0.20272327553516423,4
refresh,0.20049483830370673,7
res,0.1996963850705038,5
saturday,0.1996004975891873,10
counted,0.1988795175632741,6
oops,0.19799298463304008,7
messed,0.19681339941033343,4
o,0.195918091168152,3
nvm,0.1956327866950212,4
count,0.1939648479551203,31
gimme,0.19389106081917476,4
damnit,0.19329407838888454,3
stops,0.1930129825000772,1
mins,0.1925498242978965,3
paste,0.1897955566428159,3
user,0.18888432495685814,36
lurking,0.18861575049542176,1
reply,0.18729983497948868,10
sunday,0.18701361950507142,13
yup,0.1862409622690166,6
sec,0.1857415234675301,4
counters,0.18558632143941353,6
spreadsheet,0.1847987188681328,3
e,0.1839734251731643,8
bye,0.1830527390104284,5
late,0.18248724414555814,42
pace,0.1821092159679298,2
],0.18197144108424507,26
db,0.18160525641732325,3
hello,0.1815193230766165,8
chains,0.1805221573293336,3
medals,0.18016803186094296,2
ten,0.1795794957770166,4
yep,0.17917685159004967,8
mistake,0.17880669970810362,9
check,0.17724134165707459,42
formatting,0.17702830267398653,4
replied,0.1754111474985721,4
downtown,0.17409973428701273,2
kong,0.17365079554279506,2
lt,0.17227923402765197,10
c,0.17211860549406469,11
fourth,0.17210771584571768,5
min,0.171940152441361,6
eaten,0.17102741743135857,3
hi,0.17060620674452376,12
ooh,0.17045659361239124,2
weekly,0.1678089792035655,3
replying,0.16686716865411644,7
<,0.16666595152171665,368
thx,0.16577624095226862,5
thread,0.162628241459314,27
fixed,0.16116598106953262,5
p,0.15910716033271108,4
+,0.15836392822165407,46
latest,0.15747225935439263,10
app,0.15596477720167232,6
messages,0.15520696170143472,3
lag,0.1551682892996393,7
corrected,0.15511998022124268,3
yay,0.1548206964597771,4
hey,0.1547709178091399,13
streak,0.15403871889870946,3
dinner,0.15392045718605835,4
),0.15266735798885753,48
garlic,0.1523591550718026,2
6k,0.1519997574839968,3
l,0.15019554437910257,3
fastest,0.15007776861993175,4
schedule,0.1489952933475179,2
blue,0.14857086678563683,10
replies,0.14834034717440908,5
hmm,0.1480383487387355,3
dunno,0.1476165803815151,5
y,0.14737842967777723,4
bot,0.14708428574871513,6
gotta,0.1463296250623332,12
num0,0.14593421398227857,306
>,0.1456954804522679,305
9,0.14567823790137063,305
-,0.1456346718917807,305
f,0.14533366056140595,6
bio,0.14418582451793563,3
deleted,0.14378198924243102,5
~,0.14335734642492137,31
noticed,0.1412320575139136,3
updated,0.140590572476064,5
oof,0.13947308990838517,4
minutes,0.13937060897167255,8
