word,most_pmi,count
invest,0.6273220057438105,6029
template,0.45084223698702225,314
balance,0.4276207771296606,841
!,0.4172956038793497,6740
%,0.3548014217555282,4677
android,0.3537470587971671,315
firm,0.3534312647158713,154
invested,0.34403651865058243,336
memes,0.3249434303938263,416
<,0.2865036045877631,6118
invite,0.2796266241072874,79
sol,0.27162371967852167,34
ergo,0.26664152116464984,25
promote,0.2603973394107419,86
],0.2562992526420232,338
active,0.23619170524455493,183
broke,0.22670234330330077,149
>,0.2266615471695439,6335
9,0.22659213162510025,6337
-,0.2261184643765683,6336
inc,0.22606009444548886,11
tennessee,0.22538146976742557,5
num0,0.22448008950775708,6340
meme,0.2128797049307655,229
sum,0.21088201456012595,26
create,0.20860614583374648,228
format,0.19581400875767635,47
chuck,0.18853947454100337,23
sauce,0.18593733036683027,22
dank,0.1840437059995692,16
wolves,0.18204218389551086,9
formats,0.18159689510013585,7
limit,0.17951626665083611,21
incest,0.17289201262746828,23
gt,0.17199939533574748,337
versatile,0.1714320915264366,9
bot,0.17017634786833133,51
investment,0.16663935735124258,30
relatable,0.16449264786547355,20
normie,0.16319245873962743,12
street,0.1620961569280986,11
help,0.15620140705918192,269
investing,0.1543013478802662,28
carl,0.1494049098542987,7
[,0.1489894948614211,438
lane,0.14798627565563316,20
caption,0.14506174993547805,9
investments,0.14351761960662995,16
schools,0.14308338406789015,12
stranger,0.14287324487667355,14
metric,0.1419255750397875,8
(,0.14098260999270498,479
coins,0.13754845386342732,16
repost,0.1364167936807301,22
bank,0.13583844708516246,35
atm,0.13277977100276947,21
alabama,0.13200783868804444,23
investors,0.13101670543933844,8
keanu,0.13028772545396908,14
tax,0.12872803028747618,67
paper,0.12819969397460476,9
cake,0.12773712098596052,37
join,0.12747906598776396,32
&,0.12484429540380983,353
relate,0.12447817138569377,7
way,0.12447427831861022,355
upvotes,0.12428505236931828,34
upvote,0.11660903934238503,67
economy,0.11536132704556815,17
lanes,0.11462547434260582,4
toilet,0.1119545716110486,15
oof,0.11168798761828198,21
effort,0.11096993213449026,4
shark,0.11059234941594345,5
cursed,0.10683743829288272,5
|,0.10607218745794972,7
profits,0.10500594331729096,12
market,0.104845831297627,39
remindme,0.10424092759966495,11
reply,0.10290675340108309,14
elon,0.10109485271761268,9
_,0.10017348343399056,78
unlimited,0.09795993576284037,4
netflix,0.0972508715431084,7
happy,0.095625925584805,47
;,0.09258074296283716,400
poop,0.09209225925848023,12
brothers,0.09121051622733485,5
coin,0.0898953671092,6
michael,0.08983914362905857,5
hail,0.08939885834597971,5
spoiler,0.0892835173004495,7
speed,0.08906910414414342,23
pants,0.08869099174674927,4
minute,0.08817964290965769,5
pls,0.08762479966375943,18
smells,0.08731606954184859,5
girlfriend,0.08684880207816655,7
balls,0.08631003610867961,8
oc,0.08439317929985636,8
upvoted,0.08326349147636196,14
moms,0.08171474197544562,8
command,0.08112543305473956,5
pee,0.08045580537392565,7
laughs,0.08007159283779217,6
replace,0.08003547890471643,4
action,0.07974706489617508,3
penis,0.07935894069282486,5
nut,0.07904188348095621,5
dick,0.07857641547687928,7
jojo,0.07832472858683545,6
passing,0.0776920555032381,17
wet,0.07752807550053427,5
